epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,2051.23,0.49804,1.14208,0.1314,0.39329,0.95374,0.95526,0.97686,0.98472,0.90879,0.94894,0.96875,0.97837,0.88979,0.40111,0.52596,0.07575,0.30101,0.90026,0.000379743,0.000379743,0.000379743
80,2077.06,0.48471,1.10103,0.13054,0.38045,0.95077,0.96689,0.95863,0.98558,0.91067,0.96707,0.95854,0.98387,0.88692,0.40155,0.55037,0.07761,0.2947,0.90422,0.000363239,0.000363239,0.000363239
81,2102.62,0.48442,1.08138,0.12998,0.38411,0.94825,0.96722,0.96507,0.98467,0.91566,0.97842,0.95373,0.98037,0.88698,0.39527,0.52295,0.07542,0.29113,0.899,0.000346736,0.000346736,0.000346736
82,2128.2,0.48729,1.06599,0.13066,0.38626,0.95394,0.96164,0.9676,0.98429,0.91556,0.96276,0.96801,0.98034,0.89461,0.38858,0.49857,0.0728,0.29207,0.89688,0.000330233,0.000330233,0.000330233
83,2153.73,0.48366,1.07251,0.13093,0.37995,0.95056,0.95307,0.96269,0.98359,0.91295,0.95334,0.96093,0.98018,0.89267,0.38804,0.50763,0.0757,0.29724,0.89768,0.000313729,0.000313729,0.000313729
84,2179.51,0.48302,1.05291,0.131,0.38177,0.95254,0.95623,0.96605,0.98432,0.91358,0.96239,0.95941,0.97956,0.89913,0.39005,0.49046,0.07557,0.28872,0.89494,0.000297226,0.000297226,0.000297226
85,2205.09,0.47525,1.01467,0.12688,0.37122,0.94558,0.96505,0.96634,0.98532,0.91548,0.96452,0.96562,0.98258,0.89533,0.39077,0.51421,0.07293,0.292,0.89911,0.000280723,0.000280723,0.000280723
86,2230.55,0.48087,1.06872,0.12751,0.37422,0.94963,0.96743,0.96583,0.98395,0.9181,0.96513,0.96302,0.97841,0.89835,0.38413,0.49083,0.07239,0.2931,0.89631,0.00026422,0.00026422,0.00026422
87,2255.99,0.47219,1.0233,0.12979,0.37578,0.94499,0.97525,0.95185,0.98434,0.91788,0.97332,0.95343,0.9799,0.90013,0.37958,0.47422,0.07339,0.2862,0.88974,0.000247716,0.000247716,0.000247716
88,2281.95,0.46536,1.02706,0.12856,0.37245,0.94096,0.95984,0.96968,0.98576,0.91803,0.96019,0.95792,0.98155,0.90633,0.38482,0.48284,0.07428,0.28806,0.8939,0.000231213,0.000231213,0.000231213
